Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
APLAPOLLO,EQ,1809,1.32,50204.19,7.22,129.61
CENTRALBK,EQ,38.3,4.96,34666.87,338.47,128.99
DMART,EQ,4205,0.37,273633.26,3.01,127
LLOYDSME,EQ,1330.8,1.85,69633.04,9.43,125.94
CAPLIPOINT,EQ,2147,6.82,16319.71,5.88,125.42
TATACOMM,EQ,1649.9,1.08,47022.15,7.59,124.68
AMBUJACEM,EQ,565,0.27,139166.48,22.03,124.33
HINDZINC,EQ,449.2,1.56,189801.33,27.55,124.05
AMIORG,EQ,1189,5.82,9734.21,10.5,123.05
KPRMILL,EQ,1212,3.07,41427.86,9.96,120.15
KPEL,EQ,490,12.9,3267.81,24.18,114.76
KPIGREEN,EQ,485.7,10,9562.98,24.2,114.41
POLYCAB,EQ,6096,0.02,91700.54,1.86,114.13
MOREPENLAB,EQ,63.99,5.65,3506.36,176.86,112.38
IOB,EQ,39.38,4.01,75832.45,284.04,111.94
UPL,EQ,644.9,0.11,48406.69,17.13,111.18
LTF,EQ,175.59,0.41,43850.99,63.02,110.32
CHENNPETRO,EQ,650,0.5,9679.24,16.51,108.8
AVANTIFEED,EQ,888,0.48,12098.61,11.97,107.78
TATACHEM,EQ,872.75,1.54,22233.85,12.42,107.22
ABB,EQ,5843,0.4,123818.06,1.82,106.55
PARADEEP,EQ,151,4.19,12311.88,71.77,106.42
NEULANDLAB,EQ,11250,1.75,14433.63,0.92,103.51
KAJARIACER,EQ,980.5,3.45,15616.65,10.58,103.3
PPLPHARMA,EQ,205.55,0.33,27250.75,49.35,102.25
GOLDBEES,EQ,78.38,0.77,20964.38,130.44,101.91
NIVABUPA,EQ,91.4,1.1,16707.62,109.66,101.05
PAGEIND,EQ,48140,0.65,53694.75,0.21,99.99
BANDHANBNK,EQ,170.66,0.34,27492.84,58.16,99.63
IOC,EQ,144.75,0.02,204404.93,68.03,98.59
SUVEN,EQ,208.17,10.3,4539.64,47.12,97.55
GMDCLTD,EQ,356.2,0.45,11327.16,26.99,97.26
ALKEM,EQ,5340,2.28,63847.71,1.79,95.63
QPOWER,EQ,389.9,6.04,3019.55,24.21,93.88
BBTC,EQ,1965,2.92,13710.18,4.58,92.55
AUROPHARMA,EQ,1206.8,0.47,70091.14,7.5,90.9
TATAELXSI,EQ,6240,0.45,38865.56,1.45,90.58
IDEAFORGE,EQ,569.1,1.53,2457.08,15.68,89.76
SHREECEM,EQ,31645,0.09,114177.53,0.28,89.73
PHOENIXLTD,EQ,1602,3.29,57275.07,5.6,89.48
ICICIGI,EQ,1881,1.7,93270.32,4.73,89.02
EXIDEIND,EQ,393.7,0.17,33464.5,22.47,88.6
COLPAL,EQ,2711.4,0.81,73746.18,3.24,88.07
MAHSCOOTER,EQ,13700,8.97,15657.14,0.64,85.86
NTPCGREEN,EQ,105.95,1.18,89276.96,80.75,85.61
ASHOKA,EQ,203.2,2.38,5704.3,41.88,85.58
JUBLPHARMA,EQ,960,1.52,15290.99,8.94,85.45
EDELWEISS,EQ,91.29,5.08,8634.7,93.78,84.84
JSWINFRA,EQ,292.3,1.41,61383.05,28.95,84.42
NAZARA,EQ,1264,0.37,11074.69,6.48,81.82
BRITANNIA,EQ,5513.5,0.22,132802.73,1.48,81.43
TORNTPHARM,EQ,3301.4,1.06,111734.38,2.46,81.11
KSCL,EQ,1356,3.88,6975.14,5.94,80.22
DEEPAKNTR,EQ,2116.1,0.25,28862.13,3.72,79.94
DABUR,EQ,483,1.33,85602.97,16.41,79.1
THERMAX,EQ,3529,2.99,42050.26,2.22,78.5
WOCKPHARMA,EQ,1357.5,2.04,22057.42,5.71,77.92
JMFINANCIL,EQ,117.5,2.01,11231.16,65.2,77.47
TANLA,EQ,580.4,1.55,7813.19,13.26,77.2
IGL,EQ,211.4,1.05,29596.03,36.38,77.09
ZYDUSLIFE,EQ,911.9,1.02,91758.48,8.32,76.01
