Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
SETCO,BE,18.88,-2.02,252.55,0.27,0.05
740IIFCL33,N1,1121.1,-1.58,0,0,0.05
OMFURN,SM,103.25,-4.4,121.57,0.05,0.05
CLOUD,SZ,5.7,-5,25.03,0.89,0.05
GLOSTERLTD,EQ,615,-0.06,673.01,0.01,0.05
3PLAND,EQ,44,-2.03,79.2,0.11,0.05
SEL,SM,305.6,-4.26,70.86,0.02,0.05
SIGIND,EQ,55.5,-0.07,163.38,0.09,0.05
SHAHALLOYS,BE,59,-0.42,116.81,0.08,0.05
BINANIIND,BE,15.4,-2.53,48.3,0.31,0.05
ORCHASP,BE,3.04,-1.3,97.14,1.57,0.05
TGBHOTELS,EQ,10.35,-0.19,30.31,0.45,0.05
K2INFRA,ST,74.8,-1.9,94.39,0.06,0.05
DOLPHIN,BE,359,-1.99,1436.16,0.01,0.04
94SFL28,YL,1111,-0.01,472.05,0,0.04
NURECA,BE,250,-1.19,250,0.02,0.04
SPPPOLY,SM,17.9,-4.79,27.55,0.24,0.04
MUKTAARTS,EQ,79,-0.93,178.42,0.06,0.04
WIPL,EQ,152,-1.83,129.01,0.03,0.04
TNTELE,EQ,9.79,-1.21,44.71,0.44,0.04
DNAMEDIA,EQ,5.02,-2.33,59.09,0.85,0.04
NIFITETF,EQ,383.38,-1.26,5.27,0.01,0.04
739NHAI26,N8,1014.01,-0.34,664.95,0,0.04
NPBET,EQ,282.99,-0.22,12.56,0.01,0.04
ROYALARC,ST,168,-1.18,186.48,0.02,0.04
NMSTEEL,ST,31.05,-0.96,53.68,0.13,0.04
RELIABLE,EQ,71.36,-2.41,73.64,0.05,0.04
LICNETFN50,EQ,274.48,-0.37,869.16,0.01,0.04
KEL,SM,98.75,-3.19,101.44,0.04,0.04
NIFTY100EW,EQ,32.48,-0.25,1.12,0.11,0.04
SYNOPTICS,ST,63.45,-4.94,53.81,0.05,0.03
SAMBHAAV,BE,7.17,-1.65,137.03,0.46,0.03
SICALLOG,BE,103.2,-4.96,673.37,0.03,0.03
INFOMEDIA,EQ,6.11,-0.97,30.67,0.53,0.03
SAGARDEEP,EQ,29.45,-1.47,50.23,0.11,0.03
AXSENSEX,EQ,83.94,-0.27,133.13,0.04,0.03
898LTF29,N7,1045,-0.47,106.32,0,0.03
AIROLAM,EQ,89.99,-0.41,135,0.03,0.03
96IIFL28A,NF,965.02,-0.51,316.55,0,0.03
TRIDHYA,SM,24.05,-0.62,56.01,0.12,0.03
ENFUSE,SM,237,-2.87,209.69,0.01,0.03
TIRUPATI,SM,565,-2.58,572.35,0.01,0.03
CALSOFT,BE,10.94,-0.45,16.91,0.25,0.03
SPLIL,BE,39.01,-0.74,113.13,0.07,0.03
BMETRICS,SM,47,-1.98,57.88,0.06,0.03
MIEL,ST,25.75,-1.9,45.31,0.1,0.03
82IGT31,NJ,1013.55,-0.14,607.3,0,0.03
10NIDO26,N6,1065,-0.15,371.9,0,0.03
INCREDIBLE,EQ,38.79,-0.21,181.4,0.06,0.03
AXISCETF,EQ,118.16,-0.67,13.64,0.02,0.03
1060ECL29,NS,1020,-0.1,199.16,0,0.02
SILVER360,EQ,95.4,-0.2,7.4,0.03,0.02
REGENCERAM,EQ,39.9,-2.92,105.5,0.06,0.02
MAGSON,ST,116.6,-0.34,91.53,0.02,0.02
GAJANAND,SM,15.5,-0.64,29.2,0.15,0.02
AATMAJ,SM,19.1,-2.55,43.17,0.12,0.02
769HUDCO31,N9,1129.1,-0.56,0,0,0.02
THESL,SM,36.55,-4.94,45.64,0.06,0.02
1050NFL26,N7,1000,-0.99,67.5,0,0.02
ITALIANE,SM,36,-0.14,53.2,0.06,0.02
91D070825,TB,98.42,-0.27,10629.36,0.02,0.02
GAYAPROJ,BZ,6.7,-1.18,125.42,0.32,0.02
DKEGL,SM,67.55,-4.66,50.72,0.03,0.02
HDIL,BZ,3.2,-5.04,151.68,0.64,0.02
AKI,BE,8.65,-0.69,76.58,0.24,0.02
DELPHIFX,BE,130.99,-0.2,145.76,0.02,0.02
SGBSEP27,GB,9200,-0.22,577.66,0,0.02
GSTL,ST,14.05,-4.75,22.39,0.14,0.02
GRAPHISAD,SM,41.05,-1.79,75.03,0.05,0.02
PODDARHOUS,BZ,34,-2.72,21.47,0.06,0.02
MOLOWVOL,EQ,37.29,-0.67,82.28,0.05,0.02
SHYAMTEL,EQ,12.13,-3.96,13.67,0.15,0.02
EBANKNIFTY,EQ,55.29,-0.05,7.03,0.03,0.02
BBTCL,EQ,163,-1.75,334.33,0.01,0.02
PARIN,ST,368.6,-5,409.81,0.01,0.02
SEYAIND,BE,16.3,-5.01,43.31,0.11,0.02
NORBTEAEXP,BE,38.7,-2.4,45.47,0.05,0.02
LORDSCHLO,BE,151.25,-0.64,380.45,0.01,0.02
879NHPC28,N5,1126,-0.53,96.39,0,0.02
SECL,ST,6.6,-5.04,67.95,0.25,0.02
EUROBOND,SM,167,-0.15,409.15,0.01,0.02
HEADSUP,BE,11.19,-0.09,24.71,0.15,0.02
DIGIKORE,ST,198,-0.75,125.39,0.01,0.02
WELINV,EQ,848.3,-0.07,310.01,0,0.02
LICNFNHGP,EQ,277.5,-1.63,745.79,0.01,0.02
894SCL25,Z3,1237.45,-1.07,9.25,0,0.02
BRACEPORT,SM,94.45,-0.05,106.74,0.02,0.02
RADAAN,BE,3.76,-0.27,20.36,0.39,0.01
CREATIVEYE,EQ,6.52,-3.41,13.08,0.22,0.01
KTL,SZ,9.3,-1.59,15.98,0.15,0.01
SECURKLOUD,BE,24.35,-2.01,81.35,0.05,0.01
YUDIZ,ST,33.25,-4.32,34.31,0.04,0.01
MITCONPP,E1,23.05,-0.95,9.78,0.06,0.01
TRANSWIND,SM,16.5,-3.79,11.04,0.08,0.01
RADIOCITY,P1,110.55,-0.05,99.16,0.01,0.01
SKIL,BZ,3.14,-5.14,68,0.41,0.01
EQUAL50,EQ,312.69,-0.21,6.33,0,0.01
RAPIDFLEET,SM,205,-2.15,152.41,0.01,0.01
HOMESFY,SM,378,-4.04,121.95,0,0.01
737NTPC35C,NA,1395,-0.07,254.69,0,0.01
KRIDHANINF,BE,3.7,-0.8,35.07,0.3,0.01
735NABAR31,N1,1100,-0.45,0,0,0.01
BSLSENETFG,EQ,81.55,-0.06,344.45,0.01,0.01
866NTPC33,N3,1320,-1.35,411.88,0,0.01
842IIFL26,NL,977,-0.1,143.86,0,0.01
SGBOCT25,GB,9201.01,-0.99,243.66,0,0.01
UEL,BE,443.1,-5,5832.37,0,0.01
1003IIFL29,NC,1000,-0.99,54.32,0,0.01
SSFL,SM,197,-3.43,168.84,0.01,0.01
IDFNIFTYET,EQ,270.22,-0.57,3.86,0,0.01
ASCOM,ST,89.2,-5.01,104.49,0.01,0.01
SUNREST,SM,54,-1.28,23.17,0.02,0.01
10IIFL28A,NE,972,-0.21,267,0,0.01
RICHA,ST,80.05,-1.96,82.68,0.01,0.01
KKVAPOW,SM,512.55,-5,29.06,0,0.01
HAVISHA,EQ,2.01,-0.99,30.86,0.39,0.01
ARVEE,EQ,148.56,-1.64,163.71,0.01,0.01
1015UCL26,N1,977,-2.3,94.3,0,0.01
ADL,BE,90.05,-3.46,50.12,0.01,0.01
905PEL26,N1,1001,-3.75,131.48,0,0.01
96SFIL24A,NB,929,-4.13,11.52,0,0.01
TVVISION,BE,6.82,-2.01,26.42,0.1,0.01
AGARWALFT,SM,46,-2.65,33.32,0.01,0.01
ZENITHEXPO,BE,258,-3.26,139.22,0,0.01
SHANTHALA,ST,28.4,-1.9,19.02,0.02,0.01
SGBJ28VIII,GB,9174,-0.28,478.99,0,0.01
LOWVOL,EQ,202.37,-0.02,43.17,0,0.01
GOLDENTOBC,BZ,34.86,-2,61.38,0.02,0.01
MANDEEP,ST,27.85,-1.94,28.79,0.02,0.01
935IIFL28,NZ,977,-1.2,22.97,0,0.01
1040UCL27B,N1,997,-3.67,34.29,0,0.01
850IIFL27,NA,995,-0.4,13.53,0,0
865IFL28,NZ,960,-3.99,85.36,0,0
ORTEL,BZ,1.88,-5.05,6.2,0.23,0
739NHAI31A,ND,1132,-15.52,2130.56,0,0
79NHIT40,N2,307.5,-1.11,461.25,0,0
TECHIN,BZ,16.15,-5,23.14,0.03,0
GAYAHWS,BE,1.17,-2.5,28.04,0.34,0
